unix	unixinsert	unixdelete	bives	bivesinsert	bivesdelete	bivesmove	bivesupdate	bivestriggeredinsert	bivestriggereddelete	bivestriggeredmove	bivestriggeredupdate	bivesnode	bivesattribute	bivestext	modeltype	model	version1	version2
11	7	4	28	12	9	5	2	8	3	0	0	10	5	13	SBML	"BIOMD0000000142.xml"	2012-02-08	2012-05-20
376	192	184	68	30	29	8	1	17	14	0	0	31	25	12	SBML	"BIOMD0000000142.xml"	2012-05-20	2012-08-11
21	9	12	16	4	5	4	3	0	3	0	0	6	5	5	SBML	"BIOMD0000000142.xml"	2012-08-11	2012-12-12
185	90	95	19	5	9	1	4	2	4	0	0	9	9	1	SBML	"BIOMD0000000142.xml"	2014-09-16	2015-04-16
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1005200000.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1005200000.xml"	2012-02-08	2012-05-20
4785	2397	2388	406	390	6	4	6	8	3	0	0	16	390	0	SBML	"MODEL1005200000.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL1005200000.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL1005200000.xml"	2012-12-12	2013-06-18
7546	3773	3773	5661	1888	1888	1882	3	0	0	0	0	5658	1	2	SBML	"MODEL0072364382.xml"	2009-09-02	2010-01-26
2	1	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL0072364382.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL0072364382.xml"	2010-09-30	2011-04-15
33268	31941	1327	27866	24428	7	3427	4	21145	2	0	0	20671	7191	4	SBML	"MODEL0072364382.xml"	2011-09-01	2012-02-08
6	3	3	21	9	9	3	0	7	3	0	0	8	4	9	SBML	"MODEL0072364382.xml"	2012-02-08	2012-05-20
160068	81000	79068	29328	19497	9825	6	0	4947	4912	0	0	9852	19467	9	SBML	"MODEL0072364382.xml"	2012-05-20	2012-08-11
2050	1044	1006	52	44	0	8	0	38	0	0	0	33	10	9	SBML	"MODEL0072364382.xml"	2012-08-11	2012-12-12
8579	4277	4302	4015	1996	2016	3	0	998	1013	0	0	2014	2001	0	SBML	"MODEL0072364382.xml"	2012-12-12	2013-06-18
982	970	12	823	698	0	125	0	633	0	0	0	628	189	6	SBML	"BIOMD0000000078.xml"	2007-01-05	2007-06-05
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000078.xml"	2007-06-05	2007-09-25
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000078.xml"	2007-09-25	2008-03-28
1715	830	885	481	238	241	0	2	119	119	0	0	238	241	2	SBML	"BIOMD0000000078.xml"	2008-03-28	2008-08-21
4303	2153	2150	9	7	0	1	1	3	0	0	0	3	3	3	SBML	"BIOMD0000000078.xml"	2008-08-21	2008-12-03
15	2	13	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000078.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000078.xml"	2009-06-16	2009-09-02
297	112	185	227	91	86	45	5	6	62	0	0	106	115	6	SBML	"BIOMD0000000078.xml"	2009-09-02	2010-01-26
9	7	2	11	6	2	0	3	3	0	0	0	3	2	6	SBML	"BIOMD0000000078.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000078.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000078.xml"	2011-09-01	2012-02-08
12	10	2	29	15	8	4	2	11	3	0	0	10	6	13	SBML	"BIOMD0000000078.xml"	2012-02-08	2012-05-20
4198	2106	2092	434	216	216	2	0	113	107	0	0	211	202	21	SBML	"BIOMD0000000078.xml"	2012-05-20	2012-08-11
456	228	228	175	126	4	44	1	2	2	0	0	48	126	1	SBML	"BIOMD0000000078.xml"	2012-08-11	2012-12-12
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"MODEL9810152478.xml"	2009-06-16	2009-09-02
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL9810152478.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL9810152478.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL9810152478.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL9810152478.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL9810152478.xml"	2012-02-08	2012-05-20
3981	1989	1992	76	59	7	4	6	8	4	0	0	16	60	0	SBML	"MODEL9810152478.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL9810152478.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL9810152478.xml"	2012-12-12	2013-06-18
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000288.xml"	2011-09-01	2012-02-08
14	12	2	30	18	7	4	1	15	3	0	0	12	7	11	SBML	"BIOMD0000000288.xml"	2012-02-08	2012-05-20
2125	1063	1062	207	99	98	10	0	50	52	0	0	103	93	11	SBML	"BIOMD0000000288.xml"	2012-05-20	2012-08-11
171	84	87	70	60	4	5	1	0	3	0	0	7	61	2	SBML	"BIOMD0000000288.xml"	2012-08-11	2012-12-12
173	87	86	110	9	9	27	65	3	5	0	0	30	69	11	SBML	"BIOMD0000000288.xml"	2012-12-12	2013-06-18
100	53	47	35	20	14	0	1	12	7	0	0	18	16	1	SBML	"BIOMD0000000288.xml"	2013-11-04	2014-04-11
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL1004070001.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1004070001.xml"	2010-09-30	2011-04-15
272	243	29	148	144	0	2	2	125	0	0	0	109	36	3	SBML	"MODEL1004070001.xml"	2011-09-01	2012-02-08
8	5	3	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1004070001.xml"	2012-02-08	2012-05-20
1614	834	780	222	173	40	8	1	81	20	0	0	84	121	17	SBML	"MODEL1004070001.xml"	2012-05-20	2012-08-11
58	58	0	79	72	0	7	0	64	0	0	0	46	16	17	SBML	"MODEL1004070001.xml"	2012-08-11	2012-12-12
93	34	59	86	32	52	2	0	16	31	0	0	49	37	0	SBML	"MODEL1004070001.xml"	2012-12-12	2013-06-18
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1112260002.xml"	2012-02-08	2012-05-20
6497	3254	3243	943	864	2	0	77	12	1	0	0	12	929	2	SBML	"MODEL1112260002.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL1112260002.xml"	2012-08-11	2012-12-12
21	0	21	22	0	20	2	0	0	15	0	0	15	5	2	SBML	"MODEL1112260002.xml"	2012-12-12	2013-06-18
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000134.xml"	2007-09-25	2008-03-28
363	187	176	30	14	14	0	2	7	7	0	0	14	14	2	SBML	"BIOMD0000000134.xml"	2008-03-28	2008-08-21
344	172	172	8	7	0	1	0	3	0	0	0	3	3	2	SBML	"BIOMD0000000134.xml"	2008-08-21	2008-12-03
21	2	19	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000134.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000134.xml"	2009-06-16	2009-09-02
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000134.xml"	2009-09-02	2010-01-26
44	30	14	78	46	26	4	2	44	23	0	0	32	12	34	SBML	"BIOMD0000000134.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000134.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000134.xml"	2011-09-01	2012-02-08
11	7	4	28	12	9	5	2	8	3	0	0	10	5	13	SBML	"BIOMD0000000134.xml"	2012-02-08	2012-05-20
416	212	204	68	30	29	8	1	17	14	0	0	31	25	12	SBML	"BIOMD0000000134.xml"	2012-05-20	2012-08-11
29	13	16	20	8	5	4	3	0	3	0	0	6	9	5	SBML	"BIOMD0000000134.xml"	2012-08-11	2012-12-12
199	97	102	23	5	9	1	8	2	4	0	0	9	13	1	SBML	"BIOMD0000000134.xml"	2014-09-16	2015-04-16
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230054.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230054.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1006230054.xml"	2012-02-08	2012-05-20
650	332	318	65	57	4	4	0	24	2	0	0	23	37	5	SBML	"MODEL1006230054.xml"	2012-05-20	2012-08-11
28	28	0	36	30	0	6	0	25	0	0	0	24	7	5	SBML	"MODEL1006230054.xml"	2012-08-11	2012-12-12
27	1	26	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL1006230054.xml"	2012-12-12	2013-06-18
3521	1763	1758	108	8	94	4	2	4	2	0	0	10	96	2	SBML	"MODEL9080747936.xml"	2008-03-28	2008-08-21
3511	1754	1757	7	6	0	1	0	3	0	0	0	3	2	2	SBML	"MODEL9080747936.xml"	2008-08-21	2008-12-03
7	1	6	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL9080747936.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"MODEL9080747936.xml"	2009-06-16	2009-09-02
178	89	89	89	87	0	0	2	0	0	0	0	0	87	2	SBML	"MODEL9080747936.xml"	2009-09-02	2010-01-26
2	1	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL9080747936.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL9080747936.xml"	2010-09-30	2011-04-15
6	3	3	3	0	0	0	3	0	0	0	0	0	1	2	SBML	"MODEL9080747936.xml"	2011-04-15	2011-09-01
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL9080747936.xml"	2011-09-01	2012-02-08
5	4	1	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL9080747936.xml"	2012-02-08	2012-05-20
4053	2034	2019	374	280	7	4	83	8	4	0	0	16	358	0	SBML	"MODEL9080747936.xml"	2012-05-20	2012-08-11
17	16	1	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL9080747936.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL9080747936.xml"	2012-12-12	2013-06-18
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000129.xml"	2007-09-25	2008-03-28
361	186	175	30	14	14	0	2	7	7	0	0	14	14	2	SBML	"BIOMD0000000129.xml"	2008-03-28	2008-08-21
342	171	171	8	7	0	1	0	3	0	0	0	3	3	2	SBML	"BIOMD0000000129.xml"	2008-08-21	2008-12-03
21	2	19	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000129.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000129.xml"	2009-06-16	2009-09-02
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000129.xml"	2009-09-02	2010-01-26
46	31	15	79	46	26	4	3	44	23	0	0	32	13	34	SBML	"BIOMD0000000129.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000129.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000129.xml"	2011-09-01	2012-02-08
11	7	4	28	12	9	5	2	8	3	0	0	10	5	13	SBML	"BIOMD0000000129.xml"	2012-02-08	2012-05-20
416	212	204	68	30	29	8	1	17	14	0	0	31	25	12	SBML	"BIOMD0000000129.xml"	2012-05-20	2012-08-11
29	13	16	20	8	5	4	3	0	3	0	0	6	9	5	SBML	"BIOMD0000000129.xml"	2012-08-11	2012-12-12
199	97	102	23	5	9	1	8	2	4	0	0	9	13	1	SBML	"BIOMD0000000129.xml"	2014-09-16	2015-04-16
13	5	8	16	6	6	2	2	3	4	0	0	9	5	2	SBML	"BIOMD0000000296.xml"	2011-09-01	2012-02-08
24	13	11	27	10	7	6	4	8	3	0	0	9	4	14	SBML	"BIOMD0000000296.xml"	2012-02-08	2012-05-20
1261	653	608	122	57	56	9	0	29	31	0	0	60	51	11	SBML	"BIOMD0000000296.xml"	2012-05-20	2012-08-11
107	52	55	43	35	4	4	0	0	3	0	0	6	36	1	SBML	"BIOMD0000000296.xml"	2012-08-11	2012-12-12
698	334	364	95	31	27	1	36	16	13	0	0	32	62	1	SBML	"BIOMD0000000296.xml"	2013-11-04	2014-04-11
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000313.xml"	2011-09-01	2012-02-08
15	11	4	27	14	7	4	2	11	3	0	0	10	5	12	SBML	"BIOMD0000000313.xml"	2012-02-08	2012-05-20
1883	942	941	295	141	140	12	2	73	70	0	0	146	138	11	SBML	"BIOMD0000000313.xml"	2012-05-20	2012-08-11
181	89	92	79	66	4	7	2	0	3	0	0	9	67	3	SBML	"BIOMD0000000313.xml"	2012-08-11	2012-12-12
1010	511	499	143	38	38	0	67	19	19	0	0	38	104	1	SBML	"BIOMD0000000313.xml"	2014-09-16	2015-04-16
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230100.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230100.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1006230100.xml"	2012-02-08	2012-05-20
15980	7997	7983	88	64	4	4	16	24	2	0	0	23	60	5	SBML	"MODEL1006230100.xml"	2012-05-20	2012-08-11
28	28	0	36	30	0	6	0	25	0	0	0	24	7	5	SBML	"MODEL1006230100.xml"	2012-08-11	2012-12-12
27	1	26	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL1006230100.xml"	2012-12-12	2013-06-18
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"MODEL0912096133.xml"	2009-06-16	2009-09-02
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL0912096133.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL0912096133.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL0912096133.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL0912096133.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL0912096133.xml"	2012-02-08	2012-05-20
815	406	409	44	33	7	4	0	8	4	0	0	16	28	0	SBML	"MODEL0912096133.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL0912096133.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL0912096133.xml"	2012-12-12	2013-06-18
109	52	57	212	102	106	4	0	51	54	0	0	109	103	0	SBML	"BIOMD0000000428.xml"	2012-12-12	2013-06-18
151	78	73	119	59	55	3	2	31	28	0	0	60	56	3	SBML	"BIOMD0000000428.xml"	2013-06-18	2013-11-04
1240	620	620	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000428.xml"	2014-04-11	2014-09-16
14	1	13	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000191.xml"	2008-12-03	2009-03-25
7	6	1	9	4	0	4	1	3	0	0	0	7	1	1	SBML	"BIOMD0000000191.xml"	2009-09-02	2010-01-26
11	2	9	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000191.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000191.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000191.xml"	2011-09-01	2012-02-08
11	7	4	24	11	8	4	1	8	3	0	0	7	5	12	SBML	"BIOMD0000000191.xml"	2012-02-08	2012-05-20
293	136	157	150	74	70	5	1	35	33	0	0	71	71	8	SBML	"BIOMD0000000191.xml"	2012-05-20	2012-08-11
124	62	62	48	41	0	6	1	0	0	0	0	6	41	1	SBML	"BIOMD0000000191.xml"	2012-08-11	2012-12-12
747	630	117	506	481	19	5	1	427	17	0	0	315	158	33	SBML	"BIOMD0000000479.xml"	2013-11-04	2014-04-11
76	38	38	29	14	14	0	1	7	7	0	0	14	14	1	SBML	"BIOMD0000000479.xml"	2014-04-11	2014-09-16
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1201140005.xml"	2012-02-08	2012-05-20
320	162	158	34	32	2	0	0	12	1	0	0	12	20	2	SBML	"MODEL1201140005.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL1201140005.xml"	2012-08-11	2012-12-12
21	0	21	22	0	20	2	0	0	15	0	0	15	5	2	SBML	"MODEL1201140005.xml"	2012-12-12	2013-06-18
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"MODEL7743576806.xml"	2009-06-16	2009-09-02
74	37	37	54	17	17	17	3	0	0	0	0	51	1	2	SBML	"MODEL7743576806.xml"	2009-09-02	2010-01-26
2	1	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL7743576806.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7743576806.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7743576806.xml"	2011-09-01	2012-02-08
5	4	1	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL7743576806.xml"	2012-02-08	2012-05-20
2963	1486	1477	161	128	7	4	22	8	4	0	0	16	145	0	SBML	"MODEL7743576806.xml"	2012-05-20	2012-08-11
313	164	149	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL7743576806.xml"	2012-08-11	2012-12-12
393	180	213	128	63	52	8	5	55	31	0	0	62	29	37	SBML	"MODEL7743576806.xml"	2012-12-12	2013-06-18
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230017.xml"	2010-09-30	2011-04-15
663	344	319	336	37	293	4	2	35	0	0	0	26	301	9	SBML	"MODEL1006230017.xml"	2011-09-01	2012-02-08
6	3	3	21	9	9	3	0	7	3	0	0	8	4	9	SBML	"MODEL1006230017.xml"	2012-02-08	2012-05-20
4963	2494	2469	388	368	4	3	13	24	2	0	0	22	361	5	SBML	"MODEL1006230017.xml"	2012-05-20	2012-08-11
28	28	0	36	30	0	6	0	25	0	0	0	24	7	5	SBML	"MODEL1006230017.xml"	2012-08-11	2012-12-12
27	1	26	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL1006230017.xml"	2012-12-12	2013-06-18
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000268.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000268.xml"	2011-09-01	2012-02-08
6	3	3	21	9	9	3	0	7	3	0	0	8	4	9	SBML	"BIOMD0000000268.xml"	2012-02-08	2012-05-20
6610	3309	3301	594	295	291	8	0	147	148	0	0	297	287	10	SBML	"BIOMD0000000268.xml"	2012-05-20	2012-08-11
686	339	347	265	242	19	4	0	0	17	0	0	11	247	7	SBML	"BIOMD0000000268.xml"	2012-08-11	2012-12-12
877	441	436	531	146	142	0	243	74	71	0	0	145	385	1	SBML	"BIOMD0000000268.xml"	2013-11-04	2014-04-11
2728	1367	1361	260	14	0	3	243	13	0	0	0	11	248	1	SBML	"BIOMD0000000268.xml"	2014-09-16	2015-04-16
1251	628	623	8	6	0	1	1	3	0	0	0	3	2	3	SBML	"BIOMD0000000179.xml"	2008-08-21	2008-12-03
10	1	9	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000179.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000179.xml"	2009-06-16	2009-09-02
7	6	1	6	4	0	1	1	3	0	0	0	4	1	1	SBML	"BIOMD0000000179.xml"	2009-09-02	2010-01-26
6	4	2	7	2	2	0	3	0	0	0	0	0	1	6	SBML	"BIOMD0000000179.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000179.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000179.xml"	2011-09-01	2012-02-08
1291	660	631	70	50	17	0	3	47	15	0	0	31	13	26	SBML	"BIOMD0000000179.xml"	2012-02-08	2012-05-20
319	159	160	164	78	77	9	0	39	41	0	0	80	73	11	SBML	"BIOMD0000000179.xml"	2012-05-20	2012-08-11
137	67	70	51	43	4	4	0	0	3	0	0	6	44	1	SBML	"BIOMD0000000179.xml"	2012-08-11	2012-12-12
712	357	355	136	45	45	2	44	22	22	0	0	48	87	1	SBML	"BIOMD0000000179.xml"	2013-11-04	2014-04-11
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1012140001.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1012140001.xml"	2012-02-08	2012-05-20
780	388	392	27	17	6	4	0	8	3	0	0	16	11	0	SBML	"MODEL1012140001.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL1012140001.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL1012140001.xml"	2012-12-12	2013-06-18
4	2	2	7	0	2	4	1	0	1	0	0	5	1	1	SBML	"BIOMD0000000004.xml"	2005-06-01	2005-07-28
669	337	332	118	38	51	28	1	18	25	0	0	80	30	8	SBML	"BIOMD0000000004.xml"	2005-07-28	2006-01-31
114	45	69	54	11	31	8	4	5	21	0	0	38	15	1	SBML	"BIOMD0000000004.xml"	2006-01-31	2006-06-05
39	24	15	21	14	2	4	1	10	1	0	0	13	3	5	SBML	"BIOMD0000000004.xml"	2006-06-05	2006-10-03
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000004.xml"	2006-10-03	2007-01-05
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000004.xml"	2007-01-05	2007-06-05
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000004.xml"	2007-06-05	2007-09-25
24	11	13	26	1	11	11	3	0	9	0	0	15	3	8	SBML	"BIOMD0000000004.xml"	2007-09-25	2008-03-28
328	162	166	86	42	42	0	2	21	21	0	0	42	42	2	SBML	"BIOMD0000000004.xml"	2008-03-28	2008-08-21
747	375	372	10	8	1	1	0	3	0	0	0	3	3	4	SBML	"BIOMD0000000004.xml"	2008-08-21	2008-12-03
10	1	9	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000004.xml"	2008-12-03	2009-03-25
87	48	39	66	34	23	4	5	5	2	0	0	14	41	11	SBML	"BIOMD0000000004.xml"	2009-06-16	2009-09-02
9	7	2	13	6	2	4	1	4	1	0	0	9	3	1	SBML	"BIOMD0000000004.xml"	2009-09-02	2010-01-26
9	7	2	11	6	2	0	3	3	0	0	0	3	2	6	SBML	"BIOMD0000000004.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000004.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000004.xml"	2011-09-01	2012-02-08
11	7	4	28	12	9	5	2	8	3	0	0	10	5	13	SBML	"BIOMD0000000004.xml"	2012-02-08	2012-05-20
809	404	405	130	60	59	10	1	32	29	0	0	63	55	12	SBML	"BIOMD0000000004.xml"	2012-05-20	2012-08-11
122	63	59	134	79	42	10	3	48	24	0	0	50	46	38	SBML	"BIOMD0000000004.xml"	2012-08-11	2012-12-12
